date,gas_price,milk_price,bread_price,eggs_price,chicken_price,uber_ride,rent_index,streaming_cost,cpi,groceries_basket
2024-01-01,3.221,3.958,2.033,2.522,4.086,259.616,411.6,579.733,309.698,12.599
2024-02-01,3.359,3.94,2.006,2.996,4.105,267.166,413.427,582.851,310.967,13.047
2024-03-01,3.581,3.893,1.997,2.992,4.106,266.364,415.08,585.575,312.345,12.988
2024-04-01,3.776,3.868,1.998,2.864,4.061,268.637,416.49,589.982,313.023,12.791
2024-05-01,3.755,3.864,1.971,2.699,4.118,261.121,418.1,582.494,313.175,12.652
2024-06-01,3.601,3.956,1.973,2.715,4.046,255.23,419.223,580.277,313.044,12.690000000000001
2024-07-01,3.622,3.983,1.975,3.08,3.946,252.397,421.138,581.492,313.569,12.984
2024-08-01,3.521,4.044,1.951,3.204,3.952,256.372,422.556,583.055,314.062,13.151
2024-09-01,3.344,4.021,1.976,3.821,3.974,260.344,423.858,582.12,314.732,13.792
2024-10-01,3.279,4.041,1.937,3.37,4.037,267.24,425.235,580.98,315.631,13.385000000000002
2024-11-01,3.181,4.138,1.916,3.649,4.011,267.78,426.342,582.386,316.528,13.713999999999999
2024-12-01,3.145,4.101,1.912,4.146,4.104,270.901,427.68,585.788,317.604,14.262999999999998
2025-01-01,3.211,4.025,1.925,4.953,3.969,271.847,429.087,593.918,318.961,14.872
2025-02-01,3.261,4.026,1.925,5.897,4.079,265.313,430.318,598.462,319.679,15.927
2025-03-01,3.232,4.05,1.88,6.227,4.16,256.838,431.645,593.093,319.785,16.317
2025-04-01,3.33,4.074,1.913,5.122,4.18,252.897,433.043,591.667,320.302,15.289
2025-05-01,3.306,4.022,1.876,4.548,4.216,247.099,434.038,594.158,320.62,14.661999999999999
2025-06-01,3.306,4.029,1.864,3.775,4.239,249.029,435.033,595.773,321.435,13.907
2025-07-01,3.285,4.162,1.851,3.599,4.204,254.879,436.05,594.384,322.169,13.815999999999999
2025-08-01,3.295,4.171,1.841,3.587,4.212,262.292,437.294,593.23,323.291,13.811
2025-09-01,3.339,4.129,1.867,3.488,4.172,265.009,438.237,594.93,324.245,13.655999999999999
2025-10-01,3.239,4.129,1.867,3.488,4.172,265.009,438.237,594.93,324.245,13.655999999999999
2025-11-01,3.228,3.997,1.79,2.86,4.15,257.396,439.002,600.849,325.063,12.797
2025-12-01,3.05,4.047,1.833,2.712,4.153,265.513,440.189,607.296,326.031,12.745000000000001
2026-01-01,2.961,4.1,1.843,2.577,4.165,276.173,441.285,609.864,326.588,12.684999999999999
2026-02-01,3.065,4.026,1.85,2.5,4.142,278.662,441.865,597.063,327.46,12.518
2026-03-01,3.843,4.067,1.808,2.348,4.172,282.916,442.705,596.067,330.293,12.395
