date,gas_price,uber_ride,groceries_basket,rent_index,streaming_cost,gas_price_idx,uber_ride_idx,groceries_basket_idx,rent_index_idx,streaming_cost_idx,RIPI,cpi,cpi_idx,ripi_minus_cpi_idx
2024-01-01,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-02,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-03,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-04,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-05,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-06,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-07,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-08,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-09,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-10,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-11,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-12,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-13,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-14,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-15,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-16,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-17,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-18,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
2024-01-19,3.221,259.616,12.599,411.6,579.733,100.0,100.0,100.0,100.0,100.0,100.0,309.698,100.0,0.0
