scenario,enterprise_value_m,layer,claim_m,recovered_m,recovery_pct
Distressed,812.5000,Super,193.0000,193.0000,1.000000
Distressed,812.5000,1L,1953.0000,619.5000,0.317204
Distressed,812.5000,2L,442.0000,0.0000,0.000000
Distressed,812.5000,Other claims reserve,3.9000,0.0000,0.000000
Distressed,812.5000,Equity residual,0.0000,0.0000,0.000000
Base,975.0000,Super,193.0000,193.0000,1.000000
Base,975.0000,1L,1953.0000,782.0000,0.400410
Base,975.0000,2L,442.0000,0.0000,0.000000
Base,975.0000,Other claims reserve,3.9000,0.0000,0.000000
Base,975.0000,Equity residual,0.0000,0.0000,0.000000
Healthy,1137.5000,Super,193.0000,193.0000,1.000000
Healthy,1137.5000,1L,1953.0000,944.5000,0.483615
Healthy,1137.5000,2L,442.0000,0.0000,0.000000
Healthy,1137.5000,Other claims reserve,3.9000,0.0000,0.000000
Healthy,1137.5000,Equity residual,0.0000,0.0000,0.000000
